impl,profile,trace_path,N,seed,elapsed_ms,ops_total,inserts,findmins,deletemins,extractmins
quadratic_oracle,batch_then_drain,batch_then_drain_N_1024_S_23.trace,1024,23,9.6293,2048,1024,0,0,1024
binary_heap,batch_then_drain,batch_then_drain_N_1024_S_23.trace,1024,23,0.4948,2048,1024,0,0,1024
binomial_queue,batch_then_drain,batch_then_drain_N_1024_S_23.trace,1024,23,1.6221,2048,1024,0,0,1024
linear_base,batch_then_drain,batch_then_drain_N_1024_S_23.trace,1024,23,0.0517,2048,1024,0,0,1024
binary_heap,batch_then_drain,batch_then_drain_N_1048576_S_23.trace,1048576,23,1156.96,2097152,1048576,0,0,1048576
binomial_queue,batch_then_drain,batch_then_drain_N_1048576_S_23.trace,1048576,23,3998.98,2097152,1048576,0,0,1048576
linear_base,batch_then_drain,batch_then_drain_N_1048576_S_23.trace,1048576,23,50.7105,2097152,1048576,0,0,1048576
binary_heap,batch_then_drain,batch_then_drain_N_131072_S_23.trace,131072,23,120.125,262144,131072,0,0,131072
binomial_queue,batch_then_drain,batch_then_drain_N_131072_S_23.trace,131072,23,377.048,262144,131072,0,0,131072
linear_base,batch_then_drain,batch_then_drain_N_131072_S_23.trace,131072,23,8.3361,262144,131072,0,0,131072
quadratic_oracle,batch_then_drain,batch_then_drain_N_13_S_23.trace,13,23,0.0044,26,13,0,0,13
binary_heap,batch_then_drain,batch_then_drain_N_13_S_23.trace,13,23,0.0043,26,13,0,0,13
binomial_queue,batch_then_drain,batch_then_drain_N_13_S_23.trace,13,23,0.0142,26,13,0,0,13
linear_base,batch_then_drain,batch_then_drain_N_13_S_23.trace,13,23,0.0018,26,13,0,0,13
quadratic_oracle,batch_then_drain,batch_then_drain_N_16384_S_23.trace,16384,23,2635.5,32768,16384,0,0,16384
binary_heap,batch_then_drain,batch_then_drain_N_16384_S_23.trace,16384,23,11.4746,32768,16384,0,0,16384
binomial_queue,batch_then_drain,batch_then_drain_N_16384_S_23.trace,16384,23,36.0611,32768,16384,0,0,16384
linear_base,batch_then_drain,batch_then_drain_N_16384_S_23.trace,16384,23,0.6669,32768,16384,0,0,16384
quadratic_oracle,batch_then_drain,batch_then_drain_N_2048_S_23.trace,2048,23,42.8627,4096,2048,0,0,2048
binary_heap,batch_then_drain,batch_then_drain_N_2048_S_23.trace,2048,23,1.0545,4096,2048,0,0,2048
binomial_queue,batch_then_drain,batch_then_drain_N_2048_S_23.trace,2048,23,3.9719,4096,2048,0,0,2048
linear_base,batch_then_drain,batch_then_drain_N_2048_S_23.trace,2048,23,0.1291,4096,2048,0,0,2048
binary_heap,batch_then_drain,batch_then_drain_N_262144_S_23.trace,262144,23,277.157,524288,262144,0,0,262144
binomial_queue,batch_then_drain,batch_then_drain_N_262144_S_23.trace,262144,23,806.401,524288,262144,0,0,262144
linear_base,batch_then_drain,batch_then_drain_N_262144_S_23.trace,262144,23,12.457,524288,262144,0,0,262144
binary_heap,batch_then_drain,batch_then_drain_N_32768_S_23.trace,32768,23,25.1552,65536,32768,0,0,32768
binomial_queue,batch_then_drain,batch_then_drain_N_32768_S_23.trace,32768,23,77.9457,65536,32768,0,0,32768
linear_base,batch_then_drain,batch_then_drain_N_32768_S_23.trace,32768,23,1.8921,65536,32768,0,0,32768
quadratic_oracle,batch_then_drain,batch_then_drain_N_4096_S_23.trace,4096,23,182.635,8192,4096,0,0,4096
binary_heap,batch_then_drain,batch_then_drain_N_4096_S_23.trace,4096,23,3.6349,8192,4096,0,0,4096
binomial_queue,batch_then_drain,batch_then_drain_N_4096_S_23.trace,4096,23,8.385,8192,4096,0,0,4096
linear_base,batch_then_drain,batch_then_drain_N_4096_S_23.trace,4096,23,0.2878,8192,4096,0,0,4096
binary_heap,batch_then_drain,batch_then_drain_N_524288_S_23.trace,524288,23,593.481,1048576,524288,0,0,524288
binomial_queue,batch_then_drain,batch_then_drain_N_524288_S_23.trace,524288,23,1861.39,1048576,524288,0,0,524288
linear_base,batch_then_drain,batch_then_drain_N_524288_S_23.trace,524288,23,26.6322,1048576,524288,0,0,524288
binary_heap,batch_then_drain,batch_then_drain_N_65536_S_23.trace,65536,23,57.2037,131072,65536,0,0,65536
binomial_queue,batch_then_drain,batch_then_drain_N_65536_S_23.trace,65536,23,162.573,131072,65536,0,0,65536
linear_base,batch_then_drain,batch_then_drain_N_65536_S_23.trace,65536,23,2.738,131072,65536,0,0,65536
quadratic_oracle,batch_then_drain,batch_then_drain_N_8192_S_23.trace,8192,23,674.143,16384,8192,0,0,8192
binary_heap,batch_then_drain,batch_then_drain_N_8192_S_23.trace,8192,23,5.507,16384,8192,0,0,8192
binomial_queue,batch_then_drain,batch_then_drain_N_8192_S_23.trace,8192,23,17.8841,16384,8192,0,0,8192
linear_base,batch_then_drain,batch_then_drain_N_8192_S_23.trace,8192,23,0.4867,16384,8192,0,0,8192
